거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,등기일자,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층
"    19,800", ,2005,2021,중앙로71번길,00005,00000,50130,01,0,4850830, , 서귀동,0296,0038,50130,10100,1,삼다2차빌라트,1,7,50130-84,84.53, ,296-38,50130,4
"    13,500", ,2014,2021,동문로,00013,00001,50130,01,0,3350339, , 서귀동,0285,0018,50130,10100,1,서귀포의꿈,1,20,50130-693,49.68, ,285-18,50130,11
"    15,000", ,2014,2021,동문로,00013,00001,50130,01,0,3350339, , 서귀동,0285,0018,50130,10100,1,서귀포의꿈,1,20,50130-693,49.68, ,285-18,50130,11
"    16,000", ,2003,2021,서문서로,00018,00000,50130,01,0,3350142, , 서귀동,0325,0022,50130,10100,1,삼다빌라트,1,22,50130-3,96.22, ,325-22,50130,5
"     9,800", ,1991,2021,동부로12번길,00009,00000,50130,01,0,4850168, , 서귀동,0114,0001,50130,10100,1,"명지아파트(가동,나동)",1,27,50130-2,69.48, ,114-1,50130,1
"    40,700", ,2013,2021,서호남로,00092,00015,50130,01,0,3350369, , 서호동,1540,0000,50130,10300,1,제주서귀포혁신도시엘에이치1단지,1,6,50130-668,84.94, ,1540,50130,7
"    12,300", ,2015,2021,서호상로,00046,00000,50130,01,0,3350150, , 서호동,0611,0001,50130,10300,1,서호메디치,1,6,50130-760,36.5141, ,611-1,50130,3
"    32,000", ,2015,2021,서호남로,00092,00016,50130,01,없음,3350369, , 서호동,1545,0000,50130,10300,1,제주서귀포혁신도시엘에이치2단지,1,12,50130-744,74.94, ,1545,50130,7
"    46,800", ,2015,2021,서호남로,00092,00016,50130,01,없음,3350369, , 서호동,1545,0000,50130,10300,1,제주서귀포혁신도시엘에이치2단지,1,13,50130-744,84.94, ,1545,50130,7
"    38,000", ,2013,2021,서호남로,00092,00015,50130,01,0,3350369, , 서호동,1540,0000,50130,10300,1,제주서귀포혁신도시엘에이치1단지,1,14,50130-668,74.94, ,1540,50130,7
"    41,000", ,2013,2021,서호남로,00092,00015,50130,01,0,3350369, , 서호동,1540,0000,50130,10300,1,제주서귀포혁신도시엘에이치1단지,1,14,50130-668,84.94, ,1540,50130,7
"    33,000", ,2015,2021,서호남로,00092,00016,50130,01,없음,3350369, , 서호동,1545,0000,50130,10300,1,제주서귀포혁신도시엘에이치2단지,1,15,50130-744,74.94, ,1545,50130,1
"    14,900", ,1999,2021,중산간동로,08002,00000,50130,03,0,3349238, , 동홍동,1674,0000,50130,10500,1,주공5차(동홍5차),1,2,50130-56,49.87, ,1674,50130,1
"    17,500", ,1998,2021,동홍중앙로90번길,00004,00011,50130,01,0,4850212, , 동홍동,0095,0001,50130,10500,1,일호2차,1,4,50130-26,84.65, ,95-1,50130,1
"    14,500", ,1990,2021,동홍중앙로,00030,00000,50130,01,0,3350073, , 동홍동,0119,0000,50130,10500,1,주공2(동홍2),1,4,50130-29,39.3, ,119,50130,1
"    13,700", ,1999,2021,중산간동로,08002,00000,50130,03,0,3349238, , 동홍동,1674,0000,50130,10500,1,주공5차(동홍5차),1,5,50130-56,49.87, ,1674,50130,5
"    29,700", ,2013,2021,태평로,00561,00000,50130,04,0,3350269, , 동홍동,0137,0000,50130,10500,1,캐슬휘닉스Ⅱ,1,5,50130-623,84.9759, ,137,50130,8
"    13,000", ,1988,2021,동홍중앙로,00010,00000,50130,01,0,3350073, , 동홍동,0147,0000,50130,10500,1,주공1,1,6,50130-28,39.3, ,147,50130,1
