행정동코드,행정동_시도명,행정동_시군구명,행정동_읍면동명,행정동시군구코드,행정동읍면동코드,행정동_주소
1111051500,서울특별시,종로구,청운효자동,11110,51500,서울특별시 종로구 청운효자동
1111053000,서울특별시,종로구,사직동,11110,53000,서울특별시 종로구 사직동
1111054000,서울특별시,종로구,삼청동,11110,54000,서울특별시 종로구 삼청동
1111055000,서울특별시,종로구,부암동,11110,55000,서울특별시 종로구 부암동
1111056000,서울특별시,종로구,평창동,11110,56000,서울특별시 종로구 평창동
1111057000,서울특별시,종로구,무악동,11110,57000,서울특별시 종로구 무악동
1111058000,서울특별시,종로구,교남동,11110,58000,서울특별시 종로구 교남동
1111060000,서울특별시,종로구,가회동,11110,60000,서울특별시 종로구 가회동
1111061500,서울특별시,종로구,종로1.2.3.4가동,11110,61500,서울특별시 종로구 종로1.2.3.4가동
1111063000,서울특별시,종로구,종로5.6가동,11110,63000,서울특별시 종로구 종로5.6가동
1111064000,서울특별시,종로구,이화동,11110,64000,서울특별시 종로구 이화동
1111065000,서울특별시,종로구,혜화동,11110,65000,서울특별시 종로구 혜화동
1111067000,서울특별시,종로구,창신제1동,11110,67000,서울특별시 종로구 창신제1동
1111068000,서울특별시,종로구,창신제2동,11110,68000,서울특별시 종로구 창신제2동
1111069000,서울특별시,종로구,창신제3동,11110,69000,서울특별시 종로구 창신제3동
1111070000,서울특별시,종로구,숭인제1동,11110,70000,서울특별시 종로구 숭인제1동
1111071000,서울특별시,종로구,숭인제2동,11110,71000,서울특별시 종로구 숭인제2동
1114052000,서울특별시,중구,소공동,11140,52000,서울특별시 중구 소공동
1114054000,서울특별시,중구,회현동,11140,54000,서울특별시 중구 회현동
1114055000,서울특별시,중구,명동,11140,55000,서울특별시 중구 명동
1114057000,서울특별시,중구,필동,11140,57000,서울특별시 중구 필동
1114058000,서울특별시,중구,장충동,11140,58000,서울특별시 중구 장충동
1114059000,서울특별시,중구,광희동,11140,59000,서울특별시 중구 광희동
1114060500,서울특별시,중구,을지로동,11140,60500,서울특별시 중구 을지로동
1114061500,서울특별시,중구,신당동,11140,61500,서울특별시 중구 신당동
1114062500,서울특별시,중구,다산동,11140,62500,서울특별시 중구 다산동
1114063500,서울특별시,중구,약수동,11140,63500,서울특별시 중구 약수동
1114064500,서울특별시,중구,청구동,11140,64500,서울특별시 중구 청구동
1114065000,서울특별시,중구,신당제5동,11140,65000,서울특별시 중구 신당제5동
1114066500,서울특별시,중구,동화동,11140,66500,서울특별시 중구 동화동
1114067000,서울특별시,중구,황학동,11140,67000,서울특별시 중구 황학동
1114068000,서울특별시,중구,중림동,11140,68000,서울특별시 중구 중림동
1117051000,서울특별시,용산구,후암동,11170,51000,서울특별시 용산구 후암동
1117052000,서울특별시,용산구,용산2가동,11170,52000,서울특별시 용산구 용산2가동
1117053000,서울특별시,용산구,남영동,11170,53000,서울특별시 용산구 남영동
1117055500,서울특별시,용산구,청파동,11170,55500,서울특별시 용산구 청파동
1117056000,서울특별시,용산구,원효로제1동,11170,56000,서울특별시 용산구 원효로제1동
1117057000,서울특별시,용산구,원효로제2동,11170,57000,서울특별시 용산구 원효로제2동
1117058000,서울특별시,용산구,효창동,11170,58000,서울특별시 용산구 효창동
1117059000,서울특별시,용산구,용문동,11170,59000,서울특별시 용산구 용문동
1117062500,서울특별시,용산구,한강로동,11170,62500,서울특별시 용산구 한강로동
1117063000,서울특별시,용산구,이촌제1동,11170,63000,서울특별시 용산구 이촌제1동
1117064000,서울특별시,용산구,이촌제2동,11170,64000,서울특별시 용산구 이촌제2동
1117065000,서울특별시,용산구,이태원제1동,11170,65000,서울특별시 용산구 이태원제1동
1117066000,서울특별시,용산구,이태원제2동,11170,66000,서울특별시 용산구 이태원제2동
1117068500,서울특별시,용산구,한남동,11170,68500,서울특별시 용산구 한남동
1117069000,서울특별시,용산구,서빙고동,11170,69000,서울특별시 용산구 서빙고동
1117070000,서울특별시,용산구,보광동,11170,70000,서울특별시 용산구 보광동
1120052000,서울특별시,성동구,왕십리제2동,11200,52000,서울특별시 성동구 왕십리제2동
1120053500,서울특별시,성동구,왕십리도선동,11200,53500,서울특별시 성동구 왕십리도선동
1120054000,서울특별시,성동구,마장동,11200,54000,서울특별시 성동구 마장동
1120055000,서울특별시,성동구,사근동,11200,55000,서울특별시 성동구 사근동
1120056000,서울특별시,성동구,행당제1동,11200,56000,서울특별시 성동구 행당제1동
1120057000,서울특별시,성동구,행당제2동,11200,57000,서울특별시 성동구 행당제2동
1120058000,서울특별시,성동구,응봉동,11200,58000,서울특별시 성동구 응봉동
1120059000,서울특별시,성동구,금호1가동,11200,59000,서울특별시 성동구 금호1가동
1120061500,서울특별시,성동구,금호2.3가동,11200,61500,서울특별시 성동구 금호2.3가동
1120062000,서울특별시,성동구,금호4가동,11200,62000,서울특별시 성동구 금호4가동
1120064500,서울특별시,성동구,옥수동,11200,64500,서울특별시 성동구 옥수동
1120065000,서울특별시,성동구,성수1가제1동,11200,65000,서울특별시 성동구 성수1가제1동
1120066000,서울특별시,성동구,성수1가제2동,11200,66000,서울특별시 성동구 성수1가제2동
1120067000,서울특별시,성동구,성수2가제1동,11200,67000,서울특별시 성동구 성수2가제1동
1120069000,서울특별시,성동구,성수2가제3동,11200,69000,서울특별시 성동구 성수2가제3동
1120072000,서울특별시,성동구,송정동,11200,72000,서울특별시 성동구 송정동
1120079000,서울특별시,성동구,용답동,11200,79000,서울특별시 성동구 용답동
1121571000,서울특별시,광진구,화양동,11215,71000,서울특별시 광진구 화양동
1121573000,서울특별시,광진구,군자동,11215,73000,서울특별시 광진구 군자동
1121574000,서울특별시,광진구,중곡제1동,11215,74000,서울특별시 광진구 중곡제1동
1121575000,서울특별시,광진구,중곡제2동,11215,75000,서울특별시 광진구 중곡제2동
1121576000,서울특별시,광진구,중곡제3동,11215,76000,서울특별시 광진구 중곡제3동
1121577000,서울특별시,광진구,중곡제4동,11215,77000,서울특별시 광진구 중곡제4동
1121578000,서울특별시,광진구,능동,11215,78000,서울특별시 광진구 능동
1121581000,서울특별시,광진구,광장동,11215,81000,서울특별시 광진구 광장동
1121582000,서울특별시,광진구,자양제1동,11215,82000,서울특별시 광진구 자양제1동
1121583000,서울특별시,광진구,자양제2동,11215,83000,서울특별시 광진구 자양제2동
1121584000,서울특별시,광진구,자양제3동,11215,84000,서울특별시 광진구 자양제3동
1121584700,서울특별시,광진구,자양제4동,11215,84700,서울특별시 광진구 자양제4동
1121585000,서울특별시,광진구,구의제1동,11215,85000,서울특별시 광진구 구의제1동
1121586000,서울특별시,광진구,구의제2동,11215,86000,서울특별시 광진구 구의제2동
1121587000,서울특별시,광진구,구의제3동,11215,87000,서울특별시 광진구 구의제3동
1123053600,서울특별시,동대문구,용신동,11230,53600,서울특별시 동대문구 용신동
1123054500,서울특별시,동대문구,제기동,11230,54500,서울특별시 동대문구 제기동
1123056000,서울특별시,동대문구,전농제1동,11230,56000,서울특별시 동대문구 전농제1동
1123057000,서울특별시,동대문구,전농제2동,11230,57000,서울특별시 동대문구 전농제2동
1123060000,서울특별시,동대문구,답십리제1동,11230,60000,서울특별시 동대문구 답십리제1동
1123061000,서울특별시,동대문구,답십리제2동,11230,61000,서울특별시 동대문구 답십리제2동
1123065000,서울특별시,동대문구,장안제1동,11230,65000,서울특별시 동대문구 장안제1동
1123066000,서울특별시,동대문구,장안제2동,11230,66000,서울특별시 동대문구 장안제2동
1123070500,서울특별시,동대문구,청량리동,11230,70500,서울특별시 동대문구 청량리동
1123071000,서울특별시,동대문구,회기동,11230,71000,서울특별시 동대문구 회기동
1123072000,서울특별시,동대문구,휘경제1동,11230,72000,서울특별시 동대문구 휘경제1동
1123073000,서울특별시,동대문구,휘경제2동,11230,73000,서울특별시 동대문구 휘경제2동
1123074000,서울특별시,동대문구,이문제1동,11230,74000,서울특별시 동대문구 이문제1동
1123075000,서울특별시,동대문구,이문제2동,11230,75000,서울특별시 동대문구 이문제2동
1126052000,서울특별시,중랑구,면목제2동,11260,52000,서울특별시 중랑구 면목제2동
