갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2021,광화문 스페이스본,사직동,"15,000",종로구,2,60,9,39.54, , ,9,11110,6
 ,2008, , ,2021,광화문 스페이스본,사직동,"1,000",종로구,2,100,19,39.54, , ,9,11110,2
 ,2008, , ,2021,광화문 스페이스본,사직동,"30,000",종로구,2,0,24,39.54, , ,9,11110,4
 ,2004, , ,2021,용비어천가,내수동,"1,000",종로구,2,75,1,30.36, , ,75,11110,9
 ,2004, , ,2021,용비어천가,내수동,"1,000",종로구,2,85,2,33, , ,75,11110,11
 ,2004, , ,2021,경희궁의 아침 3단지,내수동,"12,000",종로구,2,50,4,37.5, , ,72,11110,11
 ,2004, , ,2021,경희궁의 아침 2단지,내수동,"10,000",종로구,2,50,8,28.9, , ,71,11110,15
 ,2004, , ,2021,경희궁의 아침 4단지,내수동,"15,000",종로구,2,40,12,41.74, , ,73,11110,7
 ,2004, , ,2021,광화문시대,내수동,"1,000",종로구,2,75,15,31.75, , ,74,11110,12
 ,2004, , ,2021,광화문시대,내수동,"1,000",종로구,2,80,18,31.75, , ,74,11110,9
 ,2004, , ,2021,경희궁의 아침 2단지,내수동,"22,000",종로구,2,0,18,32.43, , ,71,11110,2
 ,2004, , ,2021,경희궁의 아침 3단지,내수동,"1,000",종로구,2,85,19,37.5, , ,72,11110,7
 ,2004, , ,2021,용비어천가,내수동,"10,000",종로구,2,50,20,33, , ,75,11110,5
 ,2004, , ,2021,광화문시대,내수동,"10,000",종로구,2,60,25,34.9, , ,74,11110,7
 ,2004, , ,2021,광화문시대,내수동,"12,000",종로구,2,20,26,30.08, , ,74,11110,18
 ,2004, , ,2021,경희궁의 아침 4단지,내수동,"1,000",종로구,2,75,27,28.24, , ,73,11110,3
 ,2004, , ,2021,광화문시대,내수동,"10,000",종로구,2,35,28,31.37, , ,74,11110,16
 ,2020, , ,2021,디팰리스,신문로2가,"94,700",종로구,2,0,22,80.26, , ,171,11110,2
 ,2007, , ,2021,르메이에르종로타운1,종로1가,"29,000",종로구,2,0,24,56.64, , ,24,11110,10
 ,2008, , ,2021,종로1가 대성스카이렉스,견지동,"1,000",종로구,2,76,4,35.95, , ,110,11110,9
 ,2004, , ,2021,견지동빌딩,견지동,"2,000",종로구,2,100,20,52.15, , ,110-32,11110,8
 ,2004, , ,2021,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,2,50,5,18.89, , ,34,11110,9
 ,2004, , ,2021,BIZ-WELL 종로 오피스텔,익선동,"2,000",종로구,2,50,17,23.21, , ,34,11110,3
 ,2005, , ,2021,운현궁 에스케이 허브,경운동,"3,000",종로구,2,85,19,41.12, , ,89-4,11110,7
 ,2020, , ,2021,종로 하이뷰 디아트,관수동,"1,000",종로구,2,75,1,18.16, , ,98-1,11110,11
 ,2020, , ,2021,종로 하이뷰 디아트,관수동,"8,000",종로구,2,50,5,18.16, , ,98-1,11110,9
 ,2020, , ,2021,종로 하이뷰 디아트,관수동,"1,000",종로구,2,80,25,18.16, , ,98-1,11110,11
 ,2020, , ,2021,종로 하이뷰 디아트,관수동,"2,000",종로구,2,70,27,18.16, , ,98-1,11110,11
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,2,70,16,32.8, , ,95,11110,9
 ,2003, , ,2021,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,2,60,24,24.03, , ,95,11110,3
 ,2015, , ,2021,아르젠종로,연지동,"2,000",종로구,2,55,9,15.43, , ,163-3,11110,9
 ,2020, , ,2021,센트럴시티대학로,효제동,"2,000",종로구,2,60,1,17.57, , ,167,11110,5
 ,2003, , ,2021,반도 보라 아이비 타워,효제동,"1,000",종로구,2,70,1,30.7, , ,45,11110,5
 ,2003, , ,2021,반도 보라 아이비 타워,효제동,700,종로구,2,65,27,27.58, , ,45,11110,5
 ,2019, , ,2021,케이디오피스텔,숭인동,"3,000",종로구,2,50,1,18.56, , ,217-26,11110,5
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,2,0,1,26.47, , ,217-16,11110,4
 ,2020, , ,2021,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,2,0,1,27.18, , ,217-16,11110,7
 ,2005, , ,2021,동양파라빌,숭인동,"1,000",종로구,2,60,1,27.09, , ,1388,11110,11
