거래금액,거래유형,건축년도,년,단지,법정동,시군구,월,일,전용면적,중개사소재지,지번,지역코드,층
"30,000", ,2003,2021,광화문 플래티넘, 적선동,종로구,7,23,45.36, ,156,11110,10
"36,000", ,2008,2021,광화문 스페이스본, 사직동,종로구,7,20,39.54, ,9,11110,2
"37,400", ,2008,2021,광화문 스페이스본, 사직동,종로구,7,22,39.54, ,9,11110,7
"30,000", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,7,5,37.5, ,72,11110,16
"44,800", ,2004,2021,용비어천가, 내수동,종로구,7,15,45.89, ,75,11110,16
"30,000", ,2004,2021,경희궁의 아침 3단지, 내수동,종로구,7,21,37.5, ,72,11110,3
"63,000", ,2004,2021,경희궁의 아침 4단지, 내수동,종로구,7,27,56.48, ,73,11110,7
"29,700", ,2004,2021,광화문시대, 내수동,종로구,7,30,34.9, ,74,11110,14
"43,800", ,2005,2021,광화문오피시아빌딩, 신문로1가,종로구,7,7,41.71, ,163,11110,19
"100,000", ,2020,2021,디팰리스, 신문로2가,종로구,7,1,51.34, ,171,11110,7
"122,000", ,2020,2021,디팰리스, 신문로2가,종로구,7,16,70.7, ,171,11110,4
"100,500", ,2020,2021,디팰리스, 신문로2가,종로구,7,29,51.72, ,171,11110,8
"95,500", ,2020,2021,디팰리스, 신문로2가,종로구,7,30,53.75, ,171,11110,7
"56,500", ,2004,2021,두산위브파빌리온, 수송동,종로구,7,23,74.84, ,58,11110,13
"111,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,7,8,152.95, ,24,11110,17
"30,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,7,17,36.23, ,24,11110,15
"72,000", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,7,17,96.92, ,24,11110,15
"62,500", ,2007,2021,르메이에르종로타운1, 종로1가,종로구,7,26,81.01, ,24,11110,15
"19,500", ,2005,2021,종로1번가, 관철동,종로구,7,8,24.64, ,155,11110,13
"35,000", ,2006,2021,효성주얼리시티, 인의동,종로구,7,29,53.78, ,48-2,11110,6
"28,500", ,2003,2021,반도 보라 아이비 타워, 효제동,종로구,7,28,42.12, ,45,11110,3
"19,000", ,2019,2021,BS타워, 효제동,종로구,7,30,19.83, ,193-1,11110,6
"21,755", ,1996,2021,금호팔레스, 창신동,종로구,7,16,72.21, ,327-2,11110,18
"13,245", ,1996,2021,금호팔레스, 창신동,종로구,7,16,43.96, ,327-2,11110,18
