시도교육청코드,시도교육청명,행정표준코드,학교명,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일자
B10,서울특별시교육청,7130165,가락중학교,Karak Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05673 ,서울특별시 송파구 송이로 45,(송파동/가락중학교),02-2143-3102,http://www.karak.ms.kr,남여공학,02-2143-3119, ,N,일반계, ,전기,주간,19860129,19860506,20230615000000
B10,서울특별시교육청,7041164,가산중학교,Gasan Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08584 ,서울특별시 금천구 시흥대로115길 48,(독산동),02-804-1777,http://www.gasan.ms.kr,남여공학,02-892-8477, ,N,일반계, ,전기,주간,19700810,19710303,20230615000000
B10,서울특별시교육청,7130166,가원중학교,Gawon Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05831 ,서울특별시 송파구 중대로10길 40-18,(가락동/가원중학교),02-409-2179,www.gawon.ms.kr,남여공학,02-443-5825, ,N,일반계, ,전기,주간,19881224,19881224,20230615000000
B10,서울특별시교육청,7031261,가재울중학교,Gajaeul Middle School,중학교,서울특별시,서울특별시서부교육지원청,공립,03790 ,서울특별시 서대문구 수색로 100-75,(북가좌동/ 가재울중학교),02-726-1700,http://gajaeul.sen.ms.kr,남여공학,02-726-1799, ,N,해당없음, ,후기,주간,20130301,20130521,20230615000000
B10,서울특별시교육청,7132123,강남중학교,Gangnam Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,06955 ,서울특별시 동작구 대방동15길 29,(대방동/ 강남중학교),02-814-5637,http://www.kangnam.ms.kr,남여공학,02-823-4226, ,N,일반계, ,전기,주간,19590403,19590403,20230615000000
B10,서울특별시교육청,7130167,강동중학교,GANGDONG MIDDLE SCHOOL,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05208 ,서울특별시 강동구 풍산로 237,/ 강동중학교 (강일동),02-481-1503,http://www.gang-dong.ms.kr,남여공학,02-481-1504, ,N,해당없음, ,전기,주간,20100301,20100301,20230615000000
B10,서울특별시교육청,7130168,강명중학교,GANGMYOUNG MIDDLE SCHOOL,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05285 ,서울특별시 강동구 상일로12길 56,(강일동/ 강명중학교),02-440-3200,http://www.gangmyoung.ms.kr,남여공학,02-428-7377, ,N,해당없음, ,전기,주간,20120301,20120506,20230705000000
B10,서울특별시교육청,7121341,강북중학교,Kangbuk Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,공립,01051 ,서울특별시 강북구 한천로150길 67,(수유동/ 강북중학교),02-999-4104,http://www.kangbuk.ms.kr/,남여공학,02-993-3465, ,N,일반계, ,전기,주간,19801227,19801227,20230615000000
B10,서울특별시교육청,7130268,강빛중학교,Gangbit middle school,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05201 ,서울특별시 강동구 아리수로93다길 1,(강일동/ 강빛초중통합학교),02-6951-3964,http://gbm.sen.ms.kr,남여공학,02-6951-3966, ,N, , ,전후기,주간,20210301,20210301,20230615000000
B10,서울특별시교육청,7081484,강신중학교,Kangsin Middle School,중학교,서울특별시,서울특별시강서양천교육지원청,공립,08047 ,서울특별시 양천구 남부순환로 604,(신월동/강신중학교),02-2694-9623,http://kangsin.sen.ms.kr,남여공학,02-2699-3253, ,N,일반계, ,전기,주간,19881224,19881224,20230615000000
B10,서울특별시교육청,7130169,강일중학교,Gang-il Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05236 ,서울특별시 강동구 고덕로27길 12,(암사동414-17),02-441-4651,http://www.kangil.ms.kr,남여공학,02-441-4677, ,N,일반계, ,전기,주간,19821209,19830415,20230615000000
B10,서울특별시교육청,7132124,강현중학교,Gang-hyeon Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,06953 ,서울특별시 동작구 상도로13라길 22,/ 강현중학교 (상도동),02-815-3939,http://sganghyeon.sen.ms.kr,남여공학,02-817-9162, ,N,일반계, ,전기,주간,19680806,19680806,20230615000000
B10,서울특별시교육청,7041165,개봉중학교,Gaebong Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08250 ,서울특별시 구로구 고척로21나길 68,(개봉동),02-3660-2400,http://gaebong.sen.ms.kr,남여공학,02-2688-9514, ,N,일반계, ,전기,주간,19840504,19840504,20230615000000
B10,서울특별시교육청,7121342,개운중학교,Gaewoon Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,공립,02808 ,서울특별시 성북구 북악산로 935,(돈암동/개운중학교),02-3291-5492,http://www.gw.ms.kr,남여공학,02-3291-5495, ,N,해당없음, ,전기,주간,20060301,20060301,20230615000000
B10,서울특별시교육청,7041166,개웅중학교,Kaewoong Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08351 ,서울특별시 구로구 개봉로11길 81,/ 개웅중학교 (개봉동/개웅중학교),02-2613-3342,http://www.kaewoong.ms.kr,남여공학,02-2616-7618, ,N,일반계, ,전기,주간,19870212,19870212,20230615000000
B10,서울특별시교육청,7091420,개원중학교,Gaewon Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06328 ,서울특별시 강남구 영동대로 101,/ 개원중학교 (개포동/개원중학교),02-3411-8321,http://gaewon.sen.ms.kr,남여공학,02-3411-8329, ,N,일반계, ,전기,주간,19841204,19841204,20230615000000
B10,서울특별시교육청,7091421,개포중학교,Gaepo Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06321 ,서울특별시 강남구 선릉로 9,(개포동/개포중학교),02-571-1361,http://www.gaepo.ms.kr,남여공학,02-578-3823, ,N,일반계, ,전기,주간,19821209,19830422,20230615000000
B10,서울특별시교육청,7130170,거원중학교,Geowon Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05789 ,서울특별시 송파구 양산로2길 30,(거여동/거원중학교),02-405-4205,http://www.geowon.ms.kr,남여공학,02-405-4204, ,N,일반계, ,전기,주간,19971220,19980406,20230615000000
B10,서울특별시교육청,7134119,건국대학교사범대학부속중학교,Middle School Attached To College of Education KONKUK University,중학교,서울특별시,서울특별시성동광진교육지원청,사립,05025 ,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교,02-457-0318,http://www.konkuk.ms.kr,남여공학,02-458-7427, ,N,일반계, ,전기,주간,19671230,19680515,20230615000000
B10,서울특별시교육청,7081485,경서중학교,Gyeongseo Middle School,중학교,서울특별시,서울특별시강서양천교육지원청,공립,07533 ,서울특별시 강서구 양천로59길 31,(가양동),02-2668-0304,http://gyeongseo.sen.ms.kr,남여공학,02-2668-6816, ,N,일반계, ,전기,주간,19500901,19930404,20230615000000
B10,서울특별시교육청,7031179,경성중학교,Gyeongseong Middle School,중학교,서울특별시,서울특별시서부교육지원청,사립,03977 ,서울특별시 마포구 성미산로 111,/ 경성중학교 (연남동/경성중고등학교),02-3140-1114,http://www.gyeongseong.ms.kr,남,02-334-7533, ,N,일반계, ,전기,주간,19670902,19671023,20230615000000
B10,서울특별시교육청,7134120,경수중학교,Gyeongsu Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04785 ,서울특별시 성동구 뚝섬로13길 14,(성수동2가),02-464-0675,http://www.gsu.ms.kr,남여공학,02-497-0296, ,N,일반계, ,전기,주간,19801227,19810504,20230615000000
B10,서울특별시교육청,7061094,경신중학교,Kyungshin Middle School,중학교,서울특별시,서울특별시중부교육지원청,사립,03067 ,서울특별시 종로구 혜화로 74,(혜화동/경신중고등학교),02-762-0313,https://ksms.sen.ms.kr,남,02-763-6034, ,N,일반계, ,전기,주간,18850509,18850509,20230615000000
B10,서울특별시교육청,7091422,경원중학교,Gyeongwon Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06521 ,서울특별시 서초구 신반포로33길 39,(잠원동/경원중학교),02-593-6578,http://gyeongwon.sen.ms.kr,남여공학,02-599-0418, ,N,일반계, ,전기,주간,19810301,19810301,20230615000000
