,시도명,시군구명,년,월,구분,count,mean,거래날짜,타입
0,경기도,가평군,2021,01,월세,9,3241,2021-01-01,apt
1,경기도,가평군,2021,01,전세,7,19642,2021-01-01,apt
2,경기도,가평군,2021,02,월세,9,2143,2021-02-01,apt
3,경기도,가평군,2021,02,전세,11,13136,2021-02-01,apt
4,경기도,가평군,2021,03,월세,9,1955,2021-03-01,apt
5,경기도,가평군,2021,03,전세,12,14458,2021-03-01,apt
6,경기도,가평군,2021,04,월세,2,1663,2021-04-01,apt
7,경기도,가평군,2021,04,전세,13,11726,2021-04-01,apt
8,경기도,가평군,2021,05,월세,8,2675,2021-05-01,apt
9,경기도,가평군,2021,05,전세,8,18562,2021-05-01,apt
10,경기도,가평군,2021,06,월세,6,3166,2021-06-01,apt
11,경기도,가평군,2021,06,전세,8,14625,2021-06-01,apt
12,경기도,가평군,2021,07,월세,5,1920,2021-07-01,apt
13,경기도,가평군,2021,07,전세,5,12695,2021-07-01,apt
14,경기도,고양시 덕양구,2021,01,월세,236,6395,2021-01-01,apt
15,경기도,고양시 덕양구,2021,01,전세,485,30590,2021-01-01,apt
16,경기도,고양시 덕양구,2021,02,월세,323,6496,2021-02-01,apt
17,경기도,고양시 덕양구,2021,02,전세,452,30536,2021-02-01,apt
18,경기도,고양시 덕양구,2021,03,월세,367,5810,2021-03-01,apt
19,경기도,고양시 덕양구,2021,03,전세,471,30923,2021-03-01,apt
20,경기도,고양시 덕양구,2021,04,월세,356,8588,2021-04-01,apt
21,경기도,고양시 덕양구,2021,04,전세,433,30898,2021-04-01,apt
22,경기도,고양시 덕양구,2021,05,월세,253,6878,2021-05-01,apt
23,경기도,고양시 덕양구,2021,05,전세,489,31792,2021-05-01,apt
24,경기도,고양시 덕양구,2021,06,월세,353,6819,2021-06-01,apt
25,경기도,고양시 덕양구,2021,06,전세,610,32429,2021-06-01,apt
26,경기도,고양시 덕양구,2021,07,월세,553,6613,2021-07-01,apt
27,경기도,고양시 덕양구,2021,07,전세,672,31340,2021-07-01,apt
28,경기도,고양시 일산동구,2021,01,월세,102,9780,2021-01-01,apt
29,경기도,고양시 일산동구,2021,01,전세,335,35875,2021-01-01,apt
30,경기도,고양시 일산동구,2021,02,월세,128,7010,2021-02-01,apt
31,경기도,고양시 일산동구,2021,02,전세,287,34907,2021-02-01,apt
32,경기도,고양시 일산동구,2021,03,월세,167,6873,2021-03-01,apt
33,경기도,고양시 일산동구,2021,03,전세,349,35136,2021-03-01,apt
34,경기도,고양시 일산동구,2021,04,월세,100,6748,2021-04-01,apt
35,경기도,고양시 일산동구,2021,04,전세,273,35246,2021-04-01,apt
36,경기도,고양시 일산동구,2021,05,월세,114,8577,2021-05-01,apt
37,경기도,고양시 일산동구,2021,05,전세,357,34489,2021-05-01,apt
38,경기도,고양시 일산동구,2021,06,월세,136,9084,2021-06-01,apt
39,경기도,고양시 일산동구,2021,06,전세,348,37984,2021-06-01,apt
40,경기도,고양시 일산동구,2021,07,월세,216,8283,2021-07-01,apt
41,경기도,고양시 일산동구,2021,07,전세,463,38610,2021-07-01,apt
42,경기도,고양시 일산서구,2021,01,월세,121,6338,2021-01-01,apt
43,경기도,고양시 일산서구,2021,01,전세,521,29248,2021-01-01,apt
44,경기도,고양시 일산서구,2021,02,월세,96,6803,2021-02-01,apt
45,경기도,고양시 일산서구,2021,02,전세,524,29488,2021-02-01,apt
46,경기도,고양시 일산서구,2021,03,월세,117,6893,2021-03-01,apt
47,경기도,고양시 일산서구,2021,03,전세,559,29259,2021-03-01,apt
48,경기도,고양시 일산서구,2021,04,월세,111,6827,2021-04-01,apt
49,경기도,고양시 일산서구,2021,04,전세,484,30641,2021-04-01,apt
50,경기도,고양시 일산서구,2021,05,월세,142,7249,2021-05-01,apt
51,경기도,고양시 일산서구,2021,05,전세,655,31415,2021-05-01,apt
52,경기도,고양시 일산서구,2021,06,월세,174,8184,2021-06-01,apt
53,경기도,고양시 일산서구,2021,06,전세,737,32908,2021-06-01,apt
54,경기도,고양시 일산서구,2021,07,월세,218,8644,2021-07-01,apt
55,경기도,고양시 일산서구,2021,07,전세,844,31833,2021-07-01,apt
56,경기도,과천시,2021,01,월세,73,34793,2021-01-01,apt
57,경기도,과천시,2021,01,전세,132,71695,2021-01-01,apt
58,경기도,과천시,2021,02,월세,68,33426,2021-02-01,apt
59,경기도,과천시,2021,02,전세,127,69419,2021-02-01,apt
60,경기도,과천시,2021,03,월세,59,31813,2021-03-01,apt
61,경기도,과천시,2021,03,전세,112,66215,2021-03-01,apt
62,경기도,과천시,2021,04,월세,54,27392,2021-04-01,apt
63,경기도,과천시,2021,04,전세,102,70222,2021-04-01,apt
64,경기도,과천시,2021,05,월세,62,35066,2021-05-01,apt
65,경기도,과천시,2021,05,전세,109,71493,2021-05-01,apt
66,경기도,과천시,2021,06,월세,52,32776,2021-06-01,apt
67,경기도,과천시,2021,06,전세,99,59839,2021-06-01,apt
68,경기도,과천시,2021,07,월세,48,28763,2021-07-01,apt
69,경기도,과천시,2021,07,전세,100,75153,2021-07-01,apt
70,경기도,광명시,2021,01,월세,126,13349,2021-01-01,apt
71,경기도,광명시,2021,01,전세,376,37671,2021-01-01,apt
72,경기도,광명시,2021,02,월세,198,9501,2021-02-01,apt
73,경기도,광명시,2021,02,전세,400,34467,2021-02-01,apt
74,경기도,광명시,2021,03,월세,183,9816,2021-03-01,apt
75,경기도,광명시,2021,03,전세,499,34669,2021-03-01,apt
76,경기도,광명시,2021,04,월세,153,8796,2021-04-01,apt
77,경기도,광명시,2021,04,전세,412,35429,2021-04-01,apt
78,경기도,광명시,2021,05,월세,186,10211,2021-05-01,apt
79,경기도,광명시,2021,05,전세,575,34284,2021-05-01,apt
80,경기도,광명시,2021,06,월세,206,10727,2021-06-01,apt
