,시도명,시군구명,동리명,년,월,구분,count,mean,거래날짜,타입
0,경기도,가평군,가평읍 달전리,2021,01,월세,2,2500,2021-01-01,apt
1,경기도,가평군,가평읍 달전리,2021,02,전세,2,5250,2021-02-01,apt
2,경기도,가평군,가평읍 달전리,2021,03,월세,1,2000,2021-03-01,apt
3,경기도,가평군,가평읍 달전리,2021,04,전세,2,5375,2021-04-01,apt
4,경기도,가평군,가평읍 달전리,2021,05,월세,2,3050,2021-05-01,apt
5,경기도,가평군,가평읍 달전리,2021,05,전세,1,15500,2021-05-01,apt
6,경기도,가평군,가평읍 달전리,2021,06,월세,1,1000,2021-06-01,apt
7,경기도,가평군,가평읍 달전리,2021,07,월세,2,500,2021-07-01,apt
8,경기도,가평군,가평읍 대곡리,2021,01,전세,3,18833,2021-01-01,apt
9,경기도,가평군,가평읍 대곡리,2021,02,월세,1,500,2021-02-01,apt
10,경기도,가평군,가평읍 대곡리,2021,02,전세,1,15000,2021-02-01,apt
11,경기도,가평군,가평읍 대곡리,2021,03,월세,2,3000,2021-03-01,apt
12,경기도,가평군,가평읍 대곡리,2021,03,전세,3,10166,2021-03-01,apt
13,경기도,가평군,가평읍 대곡리,2021,04,월세,1,1000,2021-04-01,apt
14,경기도,가평군,가평읍 대곡리,2021,04,전세,2,18000,2021-04-01,apt
15,경기도,가평군,가평읍 대곡리,2021,05,전세,1,16000,2021-05-01,apt
16,경기도,가평군,가평읍 읍내리,2021,01,월세,6,3695,2021-01-01,apt
17,경기도,가평군,가평읍 읍내리,2021,02,월세,4,1321,2021-02-01,apt
18,경기도,가평군,가평읍 읍내리,2021,02,전세,1,9000,2021-02-01,apt
19,경기도,가평군,가평읍 읍내리,2021,03,월세,1,1601,2021-03-01,apt
20,경기도,가평군,가평읍 읍내리,2021,03,전세,1,10000,2021-03-01,apt
21,경기도,가평군,가평읍 읍내리,2021,04,월세,1,2327,2021-04-01,apt
22,경기도,가평군,가평읍 읍내리,2021,04,전세,3,11166,2021-04-01,apt
23,경기도,가평군,가평읍 읍내리,2021,05,월세,3,2000,2021-05-01,apt
24,경기도,가평군,가평읍 읍내리,2021,06,월세,2,1500,2021-06-01,apt
